,Date,Open,High,Low,Close,Volume,MACD,RSI,ATR,MFI,CPI,USDX,IR,TB,EFFR,RMT,Score
83,12/1/2016,1608.33,1624.79,1586.47,1600.49,1650727,52.44613246,50.45746857,41.72987088,37.72503901,115.1,108.5727,3.8,2.34,2.67,287.66,0.37464
84,12/4/2016,1600.49,1600.63,1569.48,1570.95,1080776,50.10219964,43.73055111,40.97416581,31.92834477,115.1,108.5727,3.8,2.34,2.67,287.66,0.30132
85,12/5/2016,1570.95,1573.97,1541.21,1544.6,891554,49.79681411,38.45399949,40.38743969,27.29347195,115.1,108.5727,3.8,2.34,2.67,287.66,0.35695
86,12/6/2016,1544.6,1559.54,1536.78,1554.51,940421,48.19952557,41.51625455,39.12833685,27.48311208,115.1,108.5727,3.8,2.34,2.67,287.66,0.1800875
87,12/7/2016,1554.51,1557.42,1548.01,1553.9,681724,46.44746731,41.3700598,37.0055985,32.14037807,115.1,108.5727,3.8,2.34,2.67,287.66,0.33769
88,12/8/2016,1553.9,1554.24,1541.52,1544.68,703164,45.2809548,38.97639021,35.2709129,33.84715065,115.1,108.5727,3.8,2.34,2.67,287.66,0.36501
89,12/11/2016,1544.68,1546.21,1522.64,1522.8,700736,45.59641132,33.64582206,34.4351334,35.42213901,115.1,108.5727,3.8,2.34,2.67,287.66,0.10519
90,12/12/2016,1522.8,1523.98,1495.91,1509.43,1002734,46.39049935,30.68675474,33.98048102,36.8421899,115.1,108.5727,3.8,2.34,2.67,287.66,0.54625
91,12/14/2016,1509.43,1518.07,1502.1,1516.08,753595,45.9534971,34.0171291,32.69401809,42.89487721,115.1,108.5727,3.8,2.34,2.67,287.66,0.51097
92,12/15/2016,1516.08,1531.3,1514.17,1530.06,668925,43.97221617,40.90465898,31.58230251,49.14669956,115.1,108.5727,3.8,2.34,2.67,287.66,0.33421
93,12/18/2016,1530.06,1531.43,1518.74,1531.35,752463,41.81591668,41.554214,30.23285233,55.99274973,115.1,108.5727,3.2,1.74,2.71,342.23,0.23824
94,12/19/2016,1531.35,1532,1512.8,1514.88,689193,40.96381974,35.76324307,29.44479145,58.41421125,115.1,108.5727,3.2,1.74,2.71,342.23,0.33234
95,12/20/2016,1514.88,1515.08,1494.8,1495.99,723746,41.33629286,30.19457318,28.79016349,52.11189782,115.1,108.5727,3.2,1.74,2.71,342.23,0.38262
96,12/21/2016,1495.99,1496.23,1469.55,1470.63,696672,43.1800676,24.32689314,28.63943753,44.91434235,115.1,108.5727,3.2,1.74,2.71,342.23,0.53938
97,12/22/2016,1470.63,1480.19,1466.75,1475.41,769920,43.75122938,27.3954076,27.55376342,27.88141943,115.1,108.5727,3.2,1.74,2.71,342.23,0.34916
98,12/26/2016,1475.41,1476.5,1432.57,1432.57,1550255,47.11756718,19.30164573,28.7234946,30.37816766,115.1,108.5727,3.2,1.74,2.71,342.23,0.30657
99,12/27/2016,1432.57,1433.6,1394.18,1407.53,1041220,51.21555188,16.09472032,29.4875307,29.44466883,115.1,108.5727,3.2,1.74,2.71,342.23,0.21626
100,12/28/2016,1407.53,1422.89,1402.81,1413.15,1596544,53.39425155,19.55601055,28.81556422,37.69511512,115.1,108.5727,3.2,1.74,2.71,342.23,0.2314
101,12/29/2016,1413.15,1454.64,1412.9,1443.38,1056509,52.08121851,35.95399624,29.73873821,40.41015382,115.1,108.5727,3.2,1.74,2.71,342.23,0.25958
102,1/1/2017,1443.8,1476.82,1443.8,1465.72,1008406,48.6768625,45.4377841,30.00311405,47.50937551,113.9,108.942,3.2,1.74,2.71,342.23,0.15403
103,1/2/2017,1465.72,1484.89,1465.72,1482.85,1017754,44.0884142,51.75806801,29.22932019,54.24670441,113.9,108.942,3.2,1.74,2.71,342.23,0.15417
104,1/3/2017,1482.85,1484.26,1456.82,1456.82,671652,42.06751124,43.02059726,29.1015116,53.05161783,113.9,108.942,3.2,1.74,2.71,342.23,0.35855
105,1/4/2017,1456.82,1462.83,1442.51,1457.82,638866,39.92500879,43.44381273,28.47426077,46.58173204,113.9,108.942,3.2,1.74,2.71,342.23,0.02499
106,1/5/2017,1457.82,1465.72,1451.36,1454.14,1212474,38.08498541,42.11555634,27.46609929,45.98562115,113.9,108.942,3.2,1.74,2.71,342.23,0.09695
107,1/8/2017,1447.45,1447.45,1447.45,1447.45,1768962,36.74302993,39.57735014,25.9820922,39.02741331,113.9,108.942,3.2,1.74,2.71,342.23,0.2896
108,1/9/2017,1447.5,1461.23,1447.5,1458.97,435381,34.35394197,46.03893616,25.11051418,48.59426276,113.9,108.942,3.2,1.74,2.71,342.23,0.32465
109,1/10/2017,1460.6,1477.81,1460.6,1476.9,587602,30.6603381,54.73256285,24.66262031,52.64841014,113.9,108.942,3.2,1.74,2.71,342.23,0.19086
110,1/11/2017,1476.9,1484.57,1473.72,1476.51,4564648,27.44819446,54.51214539,23.67600458,57.46810713,113.9,108.942,3.2,1.74,2.71,342.23,0.19492
111,1/12/2017,1476.51,1481.77,1476.26,1479.86,2677013,24.3515213,56.25807294,22.37843282,70.73846505,113.9,108.942,3.2,1.74,2.71,342.23,0.43109
